Date,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
2021-01-27,NBA reporter and analyst Sekou Smith dies of Covid-19,'Go back to where you came from': Cricket fan details allegations of racial abuse by staff and supporters,Yulia Navalnaya's husband was poisoned and detained. Now she is piling pressure on Vladimir Putin,The teenage twins pushing each other to pro golf success,"'Too little, too late': Dethroned Italian prince criticized over apology for King's role in rubber-stamping fascist laws",Sanofi to help produce 100 million Pfizer/BioNTech vaccine doses,"Zlatan Ibrahimovic scores, clashes with Romelu Lukaku and gets red card in fiery Milan derby","Covid-19 has killed 100,000 people in the UK. Experts say the government is still getting it wrong",The US has accused China of carrying out genocide. Will it now boycott the 2022 Beijing Olympics?,
2021-01-28,"German officials say AstraZeneca vaccine shouldn't be given to over-65s, citing lack of data","Poland puts new restrictions on abortion into effect, resulting in a near-total ban on terminations",English National Opera singers are helping 'long Covid' patients breathe,Three-time grand slam champion Naomi Osaka invests in NWSL team North Carolina Courage,"Kremlin critic Alexey Navalny to remain in detention ahead of hearing next month, Russian court rules","With his mother hospitalized, Kamaiu Johnson unable to make PGA Tour debut after positive Covid-19 test",Yannick Bestaven wins round-the-world Vendée Globe race after helping to rescue fellow competitor,Title-chasing Manchester United stunned by bottom side Sheffield United as crazy Premier League season gets crazier,Could post-vaccine life mean we return to normal? Not just yet,Pulling off Tokyo 2020 will be a logistical nightmare ... and the clock is ticking
2021-01-29,Putin signs law extending nuclear arms treaty between US and Russia,"Novavax says Covid-19 vaccine is 89% effective in UK trial, but less so in South Africa",Harry Kane injured; Jose Mourinho frustrated as Liverpool finally win,Some dogs can learn new words after hearing them only four times,"British royal family documentary, 'banned' for decades, is leaked onto YouTube",Why do wombats poop cubes? Scientists may finally have the answer,Maskless crowds pack Australian Open tennis exhibition in Covid-free Adelaide,Tokyo Olympics: Can vaccines save the Games?,,
2021-01-30,Five men arrested after asylum center set ablaze in UK,Austrian man leaves fortune to French village that saved his family from Nazis,Russian activist Navalny's foundation calls on Biden to sanction Putin's closest allies,Chelsea left 'disgusted' by online racism directed at Reece James and calls for more action,A fight between the EU and UK reveals the ugly truth about vaccine nationalism,Sofia Kenin: 'The atmosphere is going to be loud' at the Australian Open; tennis star can't wait,"Freddy the Great Dane, the tallest dog in the world, has died",EU regulators recommend authorization of AstraZeneca's Covid-19 vaccine,,
2021-01-31,100-year-old UK fundraising hero Tom Moore hospitalized with Covid-19,'Women's rights are being trampled',Palmeiras fans gather to celebrate dramatic Copa Libertadores win despite the pandemic,Manchester United star Marcus Rashford racially abused online,,,,,,
2021-02-01,Prehistoric teeth hint at Stone Age sex with Neanderthals,Minna Stess: 14-year-old skateboarding prodigy chases Olympic dream,Washington Wizards hit two three-pointers in final ten seconds to snatch victory from star-studded Brooklyn Nets,Europe talks the talk in criticizing Putin. Russia's opposition is waiting for it to walk the walk,Patrick Reed breezes to victory on PGA Tour despite drop controversy,Kremlin meets Russian protesters with fiercest crackdown in years,Marseille owner Frank H. McCourt compares attack on club's training ground to US Capitol insurrection,Single Covid case in Western Australia leads to 5-day lockdown for 2 million,,
2021-02-02,"Kremlin critic Alexey Navalny handed jail term, prompting protests across Russia","Captain Tom Moore, who raised millions for the NHS, dies aged 100",Stuart Baxter sacked by Indian football club Odisha over comments about rape,"After over a year out due to injury, Roger Federer will make tennis comeback in March in Doha",Fans ejected after courtside argument with LeBron James during game,Tom Brady says he's open to playing past 45 ahead of his 10th Super Bowl,'The most special thing I've done': Two world-class climbers scale the tallest chimney in Europe,,,
2021-02-03,"Athletes at the Tokyo Olympics will not need a vaccine to participate, organizers say",A British teenager fell into a 10-month coma before the pandemic. Now he's waking up in a new world,Manchester United puts nine past Southampton to equal Premier League record,Debate over greatest goalscorer of all time continues as Cristiano Ronaldo nets 762nd goal,The West has a new best as Utah Jazz win and Los Angeles Clippers fall,British scientists say the next dangerous Covid variant is likely already out there. We just don't know it yet,First came Covid lockdown. Now a bushfire is forcing these Australians to evacuate,"Putin dismissed Navalny for years, but outrage over his jailing is now a big problem for the Kremlin",,
2021-02-04,Bodies of drowned deer recovered from frozen lake after being scared by poachers,"A barber's positive Covid-19 test causes scare for the Kansas City Chiefs, reports say","Winter Olympics: A year before the Beijing Games, more than 180 campaign groups are calling for a diplomatic boycott","Meet BellaTeq, the first all-female Teqball team hoping to signal a 'new era' for the sport",The Kremlin's crackdown on Alexey Navalny risks turning him into a martyr,Top Tokyo Olympics organizing official apologizes for sexist remarks that women talk too much in meetings,More than 500 Australian Open players and staff go into quarantine after a hotel worker tests positive for Covid-19,Liverpool's shock loss to Brighton leaves it far behind league leaders Manchester City,French sailor Clarisse Cremer makes history in round-the-world Vendée Globe race,Covid destroyed lives spent together. Now those left behind must say farewell by Zoom
2021-02-05,Cow named after Posh Spice breaks world sales record,"Jackie Weaver, Britney Spears and a local coup d'état: A breakdown of the world's worst Zoom call",Ajax goalkeeper Andre Onana calls 12-month doping suspension 'excessive and disproportionate',Romania's Orthodox Church under fire over baptism ritual after death of baby,"Female Nazi concentration camp secretary charged with complicity in 10,000 murders in Germany",All Australian Open players in quarantine test negative as tournament draw is announced,'It's extraordinary. It's an adrenaline rush roller coaster': Inside the Super Bowl halftime show,Kremlin critic Navalny in court as EU official makes controversial trip to Russia,Russian doctor who treated Navalny after poisoning has died,Porto defender Nanu suffers spinal cord injury after sickening collision with opposition goalkeeper
2021-02-06,Two former Iranian national team footballers die from Covid-19 within a week of each other after appearing on a TV special aired online,NBA superstar Kevin Durant pulled from game twice due to Covid-19 protocols,"Brexit is just weeks old, and it's already threatening fragile political stability in Northern Ireland",,,,,,,
2021-02-07,"Britain is under lockdown. But one year into the Covid crisis, many are unable to keep to the rules","From zero to hero: Ilkay Gundogan misses penalty, scores twice in dominant Manchester City victory at Liverpool",NBA superstars Steph Curry and Nikola Jokic score 50 points or more -- but both lose,Russian protesters detained at pro-Navalny rallies say police threatened and intimidated them: 'The regime has shown its teeth',"Leon Spinks, former heavyweight champ who beat Muhammad Ali, dead at 67","Injury-stricken Serena Williams, Rafael Nadal target grand slam records at the Australian Open",Pope appoints first woman Under-Secretary with right to vote in Synod of Bishops,,,
2021-02-08,"After weeks of drama and setbacks, the Australian Open kicks off",Lewis Hamilton and Mercedes agree one-year deal with joint commitment for 'greater diversity and inclusion','The best ever in all sports': Tom Brady's GOAT status captures world's imagination,"As Brooks Koepka claims his first win since 2019, world No. 1 Dustin Johnson sends ominous message",Club World Cup: Al Ahly's 'Chosen One' coach draws strength from Nelson Mandela,Age is just a number to Serena and Venus as Williams sisters make dream start to Australian Open,Barcelona denies responsibility for leak after report reveals Lionel Messi's record $672 million contract,"Still going strong at 39, Zlatan Ibrahimovic scores 500th goal of club career in AC Milan victory",,
2021-02-09,One of Hungary's last independent radio stations ordered off the air,Mayar Sherif becomes first Egyptian woman to win a main draw grand slam match at the Australian Open,She's one of Europe's most powerful women. A vaccine spat could derail her big plans for the continent,Premier League referee and family receive online death threats,"Steeplechaser Colleen Quigley discusses mental health, modeling and 'hunger' for Olympic success",Rob Gronkowski says Tom Brady would sign 50-year contract if he could,Want to be an astronaut? The European Space Agency is hiring for the first time in 11 years,Former champion Victoria Azarenka bemoans 'lack of fresh air' in quarantine as star exits Australian Open,New medical report may shed light on Adama Traoré's death in police custody,
2021-02-10,NBA team Dallas Mavericks to resume playing the National Anthem,100-year-old former Nazi concentration camp guard charged with Holocaust atrocities,"Europe's oldest person, a 116-year-old French nun, survives Covid-19","Six years after his grandmother passed away, Nick Kyrgios grapples with demons",Police arrest eight after celebrities hit by SIM-swapping attacks,Hollywood stars Ryan Reynolds and Rob McElhenney complete takeover of Wrexham,'I feel I messed it up already': The awkward art of the on-court tennis interview,Elton John and Michael Caine star in video encouraging Brits to get vaccine,10-time major winner Annika Sorenstam to make LPGA return after 13 years away,Maradona's psychologist and two nurses under investigation over his death
2021-02-11,Bayern Munich wins sixth title in a year with Club World Cup victory over Tigres,How to stop your cat from killing so much wildlife,Dallas Mavericks play national anthem for first time this season after NBA reiterate anthem policy,"Lindsey Vonn discuss challenges facing Olympians, her 'struggles' after retirement and athlete activism",Defending champion Sofia Kenin moved to tears after Australian Open defeat,Tokyo 2020 Olympics president to resign following sexist remarks,,,,
2021-02-12,"Mario Draghi is named Italy's new prime minister, announces a political rainbow of cabinet picks",J.J. Watt says farewell to the Houston Texans and the city: 'I love you',Novak Djokovic defeats Taylor Fritz in five-set epic as fans are told to leave due to Melbourne quarantine,"Fernando Alonso, two-time F1 champion, has undergone a successful operation after cycling crash","Germany, fearing new coronavirus variants, imposes border checks with Austria and Czech Republic",Jacksonville Jaguars head coach defends hire of controversial coach,Australian Open to go without fans as 'new kind of enemy' forces Victoria to lock down,"Claressa Shields takes jab at boxing over coverage, treatment of female fighters","From sermons to WhatsApp messages, these Britons are trying to dispel Covid-19 myths in minority communities",Tokyo 2020 Olympics president announces resignation following sexist remarks
2021-02-13,Another defensive meltdown condemns Liverpool to third straight Premier League defeat,Bubba Wallace: How 2020 helped NASCAR driver find his voice to speak out over injustice,'Not the best news that you can get: ' Scotland rugby legend Doddie Weir on battling MND with a smile,Incest accusation in prominent family prompts French national reckoning with child abuse,,,,,,
2021-02-14,Novak Djokovic becomes just second man in history to reach 300 grand slam wins,The EU is facing the most serious crises in its history. Many are wondering if anyone's really in charge,,,,,,,,
2021-02-15,Manchester United's Anthony Martial racially abused on social media after draw,"Human remains found inside crocodile, amid hunt for missing fisherman","Watch out, Wimbledon! Serena Williams shares video of daughter Olympia training with coach Patrick Mouratoglou",'As good as it gets' -- US golfer Daniel Berger sinks eagle putt on the final hole to win at Pebble Beach,"Rafael Nadal eases into Australian Open quarterfinals, remains on course for record-breaking grand slam","Catalonia's separatists increase majority, dialogue with Madrid in sight","Jessica Pegula, daughter of NFL team owners, stuns No. 5 seed Elina Svitolina to make Australian Open quarterfinals",An earthquake at the Olympic torch relay start point is just the beleaguered Tokyo 2020 Games' latest crisis,,
2021-02-16,How a hit TV show exposed the failure to learn the lessons of the past on Covid-19,Revelers attempt rooftop escape after illegal nightclub is shut down,Destination Budapest: Champions League fixtures forced into unprecedented changes by pandemic,The filmmaker looking to solve 'the problem of feeling unwelcome' in golf,Maxence Muzaton recalls miracle save from crash at skiing world championships,Serena Williams overcomes Simona Halep to set up blockbuster Australian Open semifinal with Naomi Osaka,"British veterans, discharged for being gay under historic law, allowed to get their medals back",US Open: 'There's going to be some kind of big drama in the final',Australian Prime Minister apologizes to former staffer allegedly raped in Parliament office,Olympic swimming medalist charged with running alleged Australia drugs syndicate
2021-02-17,Erling Haaland nets wonderful brace as Borussia Dortmund beats Sevilla in the Champions League,Happy Gilmore and Shooter McGavin are at it again! Stars take to Twitter to celebrate 25-year anniversary,UK's Prince Philip taken to London hospital after feeling unwell,World No. 1 Ashleigh Barty stunned by Karolina Muchova in Australian Open quarterfinals,Rafael Nadal stunned by remarkable comeback as Stefanos Tsitsipas dumps him out of Australian Open,A majority of Britons aren't satisfied with how Brexit turned out,Rapper's arrest sparks protests in Catalonia,Vaccine rollout is a much-needed win for UK after bungling its pandemic response,Kylian Mbappe labeled a 'star for the future' as his stunning hat trick sinks Barcelona in the Champions League,
2021-02-18,"Two journalists, 23 and 27, get two years in jail for live-streaming a protest in Belarus","Handforth Parish Council had another Zoom meeting, and it was even worse than the viral original",Novak Djokovic powers to Australian Open final after defensive masterclass against grand slam debutant Aslan Karatsev,UK's Prince Philip spends a second night in hospital,LGBTQ campaign backed by German footballers hailed as a 'step in the right direction',"'Oh my gosh, are you that snowboarder?' Olympic gold medalist Chloe Kim goes to Princeton",South American football giant Colo-Colo narrowly avoids relegation after nerve-shredding playoff,Naomi Osaka denies Serena Williams a shot at record-tying 24th major title at Australian Open,"AstraZeneca's vaccine contract with the UK is based on 'best efforts,' just like its deal with a frustrated EU",South Korean volleyball twins Lee Jae-yeong and Lee Da-yeong dropped amid bullying scandal
2021-02-19,NCAA will allow up to 25% capacity at all rounds of the men's basketball tournament,Prince Philip to stay in London hospital over the weekend,Prince Harry and Meghan will not return as working members of royal family,Iranian judoka Saeid Mollaei says he'll never forget kindness of Israeli team ahead of Tel Aviv tournament,"Caught in a vaccine no man's land, these European countries are scrambling for Chinese and Russian shots",Daniil Medvedev advances to debut Australian Open final with dominant win over Stefanos Tsitsipas,"Sarah Thomas: Kicked out of the men's basketball league, she set her sights on the Super Bowl","LeBron James becomes the third NBA player to reach 35,000 career points",Bruno Fernandes nets brilliant brace to inspire Manchester United to victory against Real Sociedad,Alpine skiing: Race director received death threats after parallel events
2021-02-20,"Alexey Navalny remains in jail as court rejects his appeal. Then he's fined $11,500 in defamation case",Naomi Osaka overcomes Jennifer Brady to win second Australian Open title,"Boris Johnson's government is 'gaslighting' Britain about the realities of Brexit, critics say",,,,,,,
2021-02-21,Novak Djokovic beats Daniil Medvedev in Australian Open final to claim 18th grand slam title,Violent protests over rapper's arrest and accusations of police brutality rock Catalonia for fifth day,Russia tells WHO it has detected first case of avian flu strain in humans,How Biden fared in his (virtual) global debut as US President,She's 21 and just became the youngest female to row solo across the Atlantic Ocean,Swansea City footballer Yan Dhanda 'angry and hurt' by racist abuse as he labels social media companies 'selfish',,,,
2021-02-22,Britain challenges China at UN over access to Xinjiang,College gymnast Margzetta Frazier had a surprise call from Janet Jackson -- and it got emotional,Swimming: Ikee books Olympic qualifiers spot after leukaemia treatment,Australian Open fans criticized for booing Covid-19 vaccine announcement,"Cargo plane's engine catches fire, dropping debris that injures two people in a Dutch town",Tiger Woods is hopeful but uncertain he'll be fit for this year's Masters after undergoing back surgery,Life after seeing death: How Romain Grosjean's family inspired him as he was engulfed by flames,Why Britain's anti-immigration politicians are opening the doors to thousands of Hong Kongers,,
2021-02-23,Suspect in murder of Maltese journalist Daphne Caruana Galizia pleads guilty,French actor Gérard Depardieu under formal investigation for alleged rape and sexual assault,Czech free-diver breaks ice-swim world record,British aristocrat sentenced to 10 months in prison for sexual assault at his castle,"Prince Philip has infection and will stay in London hospital for several days, palace says",Erling Braut Haaland: The making of football's 'humble' superstar,NHL star taking leave of absence after Russian media report left him 'shaken and concerned',No sponsor? No problem. Tennis maverick Hsieh Su-Wei reflects on a memorable Australian Open,More child migrants are arriving alone in Spain's holiday islands than ever before. This is what happens to them,Soccer: US women's team 'past the protesting phase' of anthem debate
2021-02-24,Forest Green Rovers hope recycled coffee kit will prove a good fit,Boris Johnson lays out go-slow plan to take England out of lockdown by summer,"Police in Germany and Belgium make Europe's biggest ever cocaine bust, worth billions of euros",Tiger Woods completed one of sport's greatest comebacks. Can he do it again?,"LeBron James, Naomi Osaka, and Lewis Hamilton shortlisted in Laureus Awards after year of athlete activism",,,,,
2021-02-25,Thierry Henry steps down as coach of CF Montreal due to family reasons,Father of Liverpool goalkeeper Alisson Becker drowns in southern Brazil,Armenian Prime Minister says he is facing an attempted 'military coup' after army demands his resignation,Golf world rallies around Michelle Wie West following Rudy Giuliani's 'highly inappropriate' comments on Steve Bannon podcast,Vaccines 'encouraged' but not compulsory for athletes at Tokyo: Coates,"Boris Johnson's vaccine strategy gets another boost, while Europe confronts fresh problems","We should be grateful that Tiger Woods is alive, 'that his kids haven't lost their dad,' says an emotional Rory McIlroy",Real Madrid breaks Atalanta hearts with late goal after controversial red card,Germany's Merkel warns of third wave if lockdown is lifted too quickly,Grief over her father's death helped drive golfer Danielle Kang to major success
2021-02-26,WNBA team Atlanta Dream sold to new owners -- including a former player,Elephant kills Spanish zoo keeper with one strike from trunk,British Gymnastics faces legal action over alleged 'systemic physical and psychological abuse',"Shamima Begum, UK teen who joined ISIS, not allowed to return home to fight for citizenship, court rules","His rescue at a London protest inspired Michelle Obama and Prince Harry. Now, Patrick Hutchinson is turning his moment into a movement",Caster Semenya appeals to European Court of Human Rights over 'discriminatory' testosterone limit,Brooklyn Nets star Kyrie Irving calls for the NBA to incorporate Kobe Bryant on its logo,Annika Sorenstam's return to golf brings 'Tiger feeling' after 13-year absence,Dutch parliament becomes second in a week to accuse China of genocide in Xinjiang,
2021-02-27,LeBron James hits back at Zlatan Ibrahimovic criticism of political activism,"'Daddy, I am so proud of you.' 100-year-old UK fundraising hero Captain Tom Moore honored at funeral",Former NBA star Pau Gasol is determined to help others after retiring from the game,'They get a free shot': England rugby coach Eddie Jones on the pitfalls of social media,"Table tennis prodigy Anna Hursey, 14, is ready to help US President Joe Biden tackle the climate crisis",,,,,
2021-02-28,Russia launches satellite to monitor climate in Arctic,US Soccer scraps anthem-kneeling policy,,,,,,,,
2021-03-01,"How the Czech Republic slipped into a Covid disaster, one misstep at a time",Prince Philip moved to new hospital to treat infection and test preexisting heart condition,Former French President Nicolas Sarkozy sentenced to jail in historic ruling,Top racing trainer Gordon Elliott apologizes over photo of himself sitting on a dead horse,Reigning Chinese Super League champion Jiangsu FC 'ceases operations',UK hunts for person infected with Covid-19 variant first identified in Brazil,England rugby player Ellis Genge says he received death threats following Six Nations defeat by Wales,Jasmine Harrison delights in Atlantic Ocean world record row,Sprinter Yohan Blake says he would rather miss Olympics than get Covid-19 vaccine,Golfers wore red and black in honor of Tiger Woods during Sunday's play
2021-03-02,"French Catholic clergy may have abused at least 10,000 people since 1950, say investigators",Horse racing faces new welfare scrutiny after more footage appears of a jockey posing on a dead horse,How Sandi Morris and Tyrone Smith navigated the 'purgatory' of a postponed Olympics,"NFL owner, who is also a pilot, jets in to help secure J.J. Watt deal",Diego Maradona's Porsche is up for sale,,,,,
2021-03-03,Church of Cyprus calls for country's entry to Eurovision to be dropped for promoting devil-worship,"Putin critic Alexey Navalny held at detention center in Vladimir region, east of Moscow",Iran's only female Olympic medalist to compete under white flag in Tokyo,'Boiling up': Former NBA star Jeremy Lin says Covid-19 has sparked anti-Asian violence in the US,Late and leaky. How the UK failed to impose an effective quarantine system,Australian Attorney General Christian Porter comes forward to deny historical rape allegation,"After 400 years away, England's beavers are protecting the landscape from flooding","Europe's unified vaccination strategy is splintering as countries turn to Israel, China and Russia for help",Mikaela Shiffrin doesn't want to have to choose between 'morality versus being able to do your job' at the 2022 Winter Olympics,
2021-03-04,"Italy blocks export of Covid-19 vaccine doses to Australia, using EU powers for the first time",Teenager dies after being stung by a box jellyfish in Australia,UN rights chief says war crimes may have been committed in Ethiopia after CNN reveals Tigray massacre,"Inside Europe's biggest Hindu temple, myths get debunked and vaccines administered","As James Bond and Tom Brady welcome Aston Martin back to F1, Sebastian Vettel admits he almost walked away from the sport",Britain's Prince Philip undergoes procedure for heart condition,Barcelona given some respite from off-field issues with stunning comeback to reach Copa del Rey final,Meghan accuses palace of 'perpetuating falsehoods' against her and Harry,Katie Ledecky wins by 21 seconds in her first race for a year,Germany's far-right AfD becomes first party to be put under government surveillance since Nazi era
2021-03-05,NFL picks its first Black female game official,"France could follow Italy and block vaccine shipments, health minister says",NFL: Tom Brady says he dodged wife's retirement request,Britain's Prince Philip moves hospital after heart procedure,Liverpool slumps to fifth straight home defeat as Jurgen Klopp defends 'rare' Mohamed Salah substitution,Harry and Meghan steal the show before it's even aired,Surfer Billy Kemper says he glimpsed at death after a wave broke his pelvis in half,Cristiano Ronaldo reaches scoring landmark during his 600th league game,Creighton's men's basketball head coach suspended after 'plantation' comment,"CNN Exclusive: Aged 118, the world's oldest living person will carry the Olympic flame in Japan"
2021-03-06,The legendary Iditarod sled dog race is going ahead amid the coronavirus pandemic,How otters and beavers returned to one of the world's greatest golf courses,NBA's best players gather for All-Star Game like no other,Migrants could become the new Covid scapegoats when Europe's borders reopen,,,,,,
2021-03-07,Manchester United brings Manchester City's 21-match winning streak to an end,Philadelphia stars sidelined from NBA All-Star Game due to Covid-19 protocols,Switzerland narrowly votes to ban face covering in public,NBA cracks down on Atlanta promoters planning All-Star Game events,Robert Lewandowski edges closer to legendary record after netting hat trick against Borussia Dortmund,Italian prosecutor asks for life sentence for two Americans charged with police murder,There's a dearth of Black players on the LPGA Tour. This woman wants that to change,,,
2021-03-08,Harry and Meghan: From royal romance to palace rift,"Despite 'inappropriate behavior,' UEFA clears officials of alleged racist abuse during Champions League game",'I still can't put it into words': Stephanie Travers on the 'surreal' moment she became the first Black woman on an F1 podium,Harry and Meghan interview fallout,Is Meghan and Harry's interview a bigger crisis for the monarchy than the Diana scandal?,Mikaela Shiffrin reveals how she's been inspired by tennis star Iga Świątek,Barcelona stars past and present come out to vote as Joan Laporta wins pivotal presidential election,Novak Djokovic surpasses Roger Federer's all-time record of weeks spent as world No.1,Bryson DeChambeau gets text from Tiger Woods; then wins Arnold Palmer invitational,Germany should have led the world at handling the pandemic. But experts slam Merkel's vaccine response as a disaster
2021-03-09,"US woman who killed teen biker Harry Dunn wouldn't face prosecution in America, lawyer claims",Neanderthals disappeared from Europe thousands of years earlier than we thought,British royal family plunged into crisis after Harry and Meghan allege racism and neglect in Oprah interview,The racism Meghan says she experienced as a royal will be no surprise to Black Britons,Sailing: America's Cup yachts close on speeds of 100 kph,'Dreams do really come true': Novak Djokovic reflects on his career and historic new record,'Congrats & McDonald's on you': Superstar quarterback Dak Prescott agrees to mega deal with Dallas Cowboys,'The Fight of the Century': A divided US nation 50 years on,Rare meteorite that fell on UK driveway may contain 'ingredients for life',
2021-03-10,MLB's Texas Rangers could be the first team with a full house since the pandemic stopped sports,"France will accelerate declassification of Algeria war files, Elysee Palace says",Serving police officer arrested on suspicion of murder in hunt for London woman,Rory McIlroy says Tiger Woods is 'doing better' and hopeful to be home in the 'next week or so',Roger Federer defeats Dan Evans as he returns from 13-month injury absence,The world needs all the doctors it can get right now. This cancer patient is risking the time she has left to become one,Erling Haaland breaks multiple records as his goal-scoring streak continues in the Champions League,Olympic swimmer Katie Ledecky on training in a backyard pool and her aspirations for Tokyo 2020,Rio votes to put Pele's name on famous Maracana stadium,"Iran tried to recruit me as a spy, says former prisoner Kylie Moore-Gilbert"
2021-03-11,More European nations pause AstraZeneca vaccine use as blood clot reports investigated,"Dutch inventor of the cassette tape, Lou Ottens, dies age 94",Sarah Everard case prompts outpouring from women sharing stories of abuse and harassment on UK streets,"NBA fines Miami Heat star Meyers Leonard $50,000 for anti-Semitic slur and suspends center",96-year-old accused of being Nazi camp guard is deemed 'unfit' for trial,Prince William says royals are 'very much not a racist family' in first remarks since explosive interview,"'We cannot survive', tennis counts the cost of empty stands",Frisbee and oval ball star Cat Phillips fired up by fight for gender equality,Lionel Messi scores 'special' goal but misses penalty as Barcelona crashes out of the Champions League,Superstar quarterback Dak Prescott eyes Super Bowl parade after signing mega deal
2021-03-12,"Police identify body of Sarah Everard, who went missing in London",Andy Murray pulls out of Dubai Open after arrival of fourth child,"Meghan said racism drove her out of the UK. Black Britons ask, 'are we still here in 2021?'",AstraZeneca says 'no evidence' of blood clot risk from vaccine as countries suspend its use,Mick Schumacher: A 'big privilege' to carry legendary surname into Formula One again,'They are like a family': How esports has helped its fans get through lockdown,'It was a horrendous tee shot': Players Championship famed 17th hole claims victims,"They can only hold hands, but for Britain's elderly, first touch with a relative 'means everything'",Roger Federer withdraws from upcoming tournament after making his tennis return,'Extraordinary' AC Milan stuns Manchester United with last-gasp equalizer
2021-03-13,London police officer charged with murder of Sarah Everard,200 opposition activists detained at democratic forum in Moscow. Russian authorities says they were breaking Covid-19 protocol,Actress protests naked at France's Oscars ceremony over Covid arts support,'Could get expensive' -- Two golfers score hole-in-ones in same round at Players Championship,Tom Brady signs new deal with the Tampa Bay Buccaneers,"'I don't know what percentage of those men have essentially had their lives saved by Black women,' says head of NBA players' union",Harry and Meghan feel wronged by the palace. But they can only seek justice in the court of public opinion,,,
2021-03-14,Serena Williams says she understood the 'pain and cruelty' suffered by Meghan,Meghan reveals 'concerns' within royal family about her baby's skin color,Meghan reveals she 'didn't want to be alive anymore' in bombshell interview with Oprah Winfrey,"The royal split, racism and family struggles: 11 things we learned from Harry and Meghan's explosive interview",Prince Charles stays silent on Harry and Meghan in his first appearance since bombshell broadcast,Can the royal family survive after the Queen? Harry and Meghan's interview reignites the debate,Harry and Meghan's seismic interview will be felt for generations,Erik Lamela scores stunning rabona goal but is sent off as Arsenal overcomes Tottenham in North London Derby,Fury as London police officers break up vigil to murdered Sarah Everard,Former boxing champion 'Marvelous' Marvin Hagler dies at 66
2021-03-15,Rights groups file landmark legal case against Russian Wagner mercenaries,"Vatican says it will not bless same-sex unions, calling them a 'sin'",Buckingham Palace hires external law firm to investigate bullying claims against Meghan,Women's groups lose legal battle over UK's falling rape prosecutions as nation grapples with gender-based violence,Drew Brees set to join NBC as a football analyst,EU launches legal action against UK over Northern Ireland protocol,First Spanish-made 'narco sub' found in Mediterranean warehouse,What Usain Bolt did next: Olympic legend on his greatest achievement and life after athletics,PSG's Angel Di Maria and Marquinhos victims of burglary during match,"Cyclist Primoz Roglic crashes twice, suffers a dislocated shoulder, loses race lead, but still finishes"
2021-03-16,European regulator 'convinced' benefits of AstraZeneca vaccine outweigh risks as suspensions continue,CNN Sport named Digital Publisher of the Year at the 2020 SJA British Sports Journalism Awards,"Russian hockey player Timur Faizutdinov, 19, dies after being hit by puck","UK labels Russia top security threat, issues warning on China, and promises to build more nuclear warheads",Prince Philip leaves hospital following heart surgery,Police officer involved in Sarah Everard search removed from duties over 'inappropriate graphic',"With UK police under fire, Boris Johnson pushes new bill that could end peaceful protests",'Best player in the world:' Barca boss Ronald Koeman praises Lionel Messi after record-equaling appearance,Rui Patricio 'okay' and 'totally conscious' after suffering head injury,ATP's revised ranking system makes no sense: Zverev
2021-03-17,LeBron James becomes part owner of MLB giant Boston Red Sox,The UK is facing a reckoning on gender-based violence. Boris Johnson's government has botched its response,Fernando Alonso: 'Hopefully I'm back as a better driver',Boris Johnson's boast of a 'Global Britain' is taking a pounding amid series of crises,"Sabine Schmitz, 'Queen of the Nürburgring,' dead at 51","Manchester City remains on course to win an unprecedented quadruple, whether Pep Guardiola admits it or not","Tennis player Damir Dzumhur faces disciplinary probe, fined for walking off court",Team New Zealand retains the America's Cup in front of thousands of spectators,,
2021-03-18,The royals have always stayed out of politics. Now they've waded into Britain's culture wars,Russia reacts angrily after Biden calls Putin a 'killer',"Australia's wildfires released as much smoke as a massive volcanic eruption, study finds",Ole in or Ole out? Manchester United fan Usain Bolt gives his verdict on the season so far,"More than 500 people in UK were put on do-not-resuscitate orders without consent, watchdog says",Spain approves euthanasia law,"Violence towards Asian Americans is 'hitting differently' amid the pandemic, says former NBA star Jeremy Lin",Police in England and Wales to record misogyny as a hate crime in wake of Sarah Everard murder,Olympic triple jumper and rapper Will Claye on why his music career is more than a hobby,'Unplayable' Bayern Munich cruises into record-breaking 19th Champions League quarterfinal
2021-03-19,Rangers boss Steven Gerrard calls for action after his player accuses Slavia Prague opponent of racist abuse,"EU regulator declares AstraZeneca vaccine safe, but experts fear damage has been done",Spanish porn star charged with reckless homicide after toad venom death,Champions League quarterfinal draw: Bayern Munich to face PSG in repeat of 2020 final,"As royal briefing wars continue between London and California, can Prince Philip mend the rift?",Europe has missed its chance to stop the third wave. The US could be next,Tottenham Hotspur's Europa League exit branded a 'disgrace' by captain Hugo Lloris,'It was super cool just having that much melanin in Montana': The climbers aiming to boost diversity,"Khabib Nurmagomedov officially retired, says UFC boss Dana White",Macron under growing pressure as new Covid measures are imposed on Paris
2021-03-20,NCAA is called out over the poor amenities for women players vs the men at tournament sites,"Soccer sex abuse scandal: Report is 'kick in the teeth' for survivors, says Paul Stewart",Entire house floats away as flash floods batter Australia's east coast,Genetics may free a woman convicted of killing her 4 babies and help other parents explain the unexplainable,Prince Harry invokes his mother's memory in foreword to new book for bereaved children of frontline workers,,,,,
2021-03-21,Royals say they may consider appointing diversity chief,International spectators will be refused entry into Japan for Tokyo 2020,Turkey withdraws from Istanbul convention to combat violence against women,Lakers superstar LeBron James 'out indefinitely' with ankle injury,,,,,,
